id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1749936131548856701,@fearlessxbalor they literally annoy tf outta me like as a Cena stan myself there annoying like they always bringing the Bella’s down 😭 https://t.co/UHVpd22AMS,https://twitter.com/AariboBear77/status/1749936131548856701,tweet,𝐚𝐚𝐫𝐨𝐧♡ | 𝐛𝐢𝐦𝐛𝐨 𝐝𝐨𝐰𝐧 𝐭𝐡𝐞 𝐫𝐨𝐚𝐝,@AariboBear77,United Kingdom | Jack ♡,@fearlessxbalor,,0,0,0,1,34,0,2024-01-23 18:24:20,https://pbs.twimg.com/tweet_video_thumb/GEkFogqXAAAjoPR.jpg,https://video.twimg.com/tweet_video/GEkFogqXAAAjoPR.mp4
1749935785434894453,@madkasmadness @laeti_avait_dit @tommydidario @D_SAVRE I know! I intend to live till I’m 100 and annoy the crap out of all you people I love 😜,https://twitter.com/wendygordon64/status/1749935785434894453,tweet,Wendy 💙💛🏳️‍🌈 #SaveStation19,@wendygordon64,"Northumberland, England","@madkasmadness,@laeti_avait_dit,@tommydidario,@D_SAVRE",,1,0,0,2,131,0,2024-01-23 18:22:58,,
1749935325462290710,@Bababirde KAT really annoy me bad as shit bro 😭,https://twitter.com/KjFor_President/status/1749935325462290710,tweet,FIVE,@KjFor_President,Da P,@Bababirde,,0,0,0,0,14,0,2024-01-23 18:21:08,,
1749934954769699037,"@God_winsforever Here is the meme. Twice as likely to annoy all the right people. 😉

Bonus: saves typing. https://t.co/OlXcrycP92",https://twitter.com/RealBasedBrit/status/1749934954769699037,tweet,BasedBrit,@RealBasedBrit,,@God_winsforever,,0,0,0,1,42,1,2024-01-23 18:19:40,https://pbs.twimg.com/media/GEkEkLNW4AAqNQD.jpg,
1749933984031637814,"over opinionated people annoy me, i get it everybody is entitled to their own opinion but BITCH who asked you fr ?",https://twitter.com/blockgrrjaayloo/status/1749933984031637814,tweet,jazz🦂x bigmoney🤑,@blockgrrjaayloo,"Southbaank, TX",,,0,0,1,0,382,0,2024-01-23 18:15:48,,
1749933981364293796,"@AreTrue @TMasudin ….after he violently drove away the indigenous Jews who rose up against the Roman occupation. The Philistines who lived nearby were Greek and Hadrian knew naming it for them would annoy the Jews.  From there it was renamed Palestina then later Palestine, but was always an…",https://twitter.com/LondonerJohn/status/1749933981364293796,tweet,(((J✡️Rog))),@LondonerJohn,"London, England","@AreTrue,@TMasudin",,1,0,0,0,39,0,2024-01-23 18:15:48,,
1749933379771080731,"@Team_Munawar00 I am not, in the ordinary acceptation of the term, a good-natured man; that is, many things annoy me besides what interferes with my own ease and interest. I hate a lie; a piece of injustice wounds me to the quick, though nothing but the report of

ICONIC WINNER MUNAWAR

~Ali~",https://twitter.com/BakPopping/status/1749933379771080731,tweet,ALI 🔥🔥,@BakPopping,"Hyderabad, India",@Team_Munawar00,,0,0,2,1,2,0,2024-01-23 18:13:24,,
1749933165710307542,@lovekayze Random facetimes annoy me,https://twitter.com/Ny9d0/status/1749933165710307542,tweet,eednyn,@Ny9d0,,@lovekayze,,0,0,0,0,31,0,2024-01-23 18:12:33,,
1749933013926879699,"@Chrimms2 @thisischaniece @reyter111 Why did he keep saying they were ""Japanese"" too? The guy isn't being serious and he's just trying to provoke and annoy them.",https://twitter.com/OrlovProvince/status/1749933013926879699,tweet,Duck Blobsky,@OrlovProvince,,"@Chrimms2,@thisischaniece,@reyter111",,1,0,0,0,27,0,2024-01-23 18:11:57,,
1749932988694172081,It means the new bitch hasnt had enough time yet to annoy me as much as you do.,https://twitter.com/bluntsbyePhresh/status/1749932988694172081,tweet,HanSoloMoney,@bluntsbyePhresh,"The Money Store ",,,0,0,0,2,379,0,2024-01-23 18:11:51,,
